idQ;body;persoBody;field;textArea;answer;;;;;answer;;;;;answer;;;;;answer;;;;;answer;;;;
;;;;;idQ;body;breakPoint;reaction;detail;idQ;body;breakPoint;reaction;detail;idQ;body;breakPoint;reaction;detail;idQ;body;breakPoint;reaction;detail;idQ;body;breakPoint;reaction;detail
1;Salut ! Je suis ton chatbot, je vais te suivre durant tes 3 années de licence pour t'aider à réussir ! Allez on commence : comment tu t'appelles ?😊;;name;VRAI;2;;FAUX;Merci pour ta réponse !😍;;;;;;;;;;;;;;;;;;;;;
2;;Tu t'appelles/c'est bien ça ?;;FAUX;3;Non...;FAUX;Ah mince désolé !🤦;;0;Oui c'est ça !;FAUX;Ok super !;;;;;;;;;;;;;;;;
3;Tu peux me redonner ton prénom ?😇;;name;VRAI;2;;FAUX;Merci pour ta réponse !;;;;;;;;;;;;;;;;;;;;;
4;Tu faisais du sport avant de venir ici ?👟;;sportBeforeComing;FAUX;6;Non j'en faisais pas;FAUX;D'accord pas de soucis;non;5;Oui !;FAUX;;oui;;;;;;;;;;;;;;;
5;Tu peux me dire quel sport ?;;sportBeforeComing;VRAI;7;;FAUX;C'est noté !;;;;;;;;;;;;;;;;;;;;;
6;Tu comptes en faire ici en licence ?🙂;;sportNow;FAUX;0;Non je suis pas un grand sportif...;FAUX;Ouais moi non plus, j'en ai jamais fait tu sais 😏;non;8;J'aimerais m'y mettre ouais;FAUX;Je vois que t'as pris de bonnes résolutions 😌;oui;;;;;;;;;;;;;;;
7;;? J'adore ce sport. Tu veux continuer en licence ?;sportNow;FAUX;9;Non j'ai décidé d'arrêter;FAUX;Ok pas de soucis;non;10;Carrément !;VRAI;Content que t'ai pu trouver un sport qui te plaît autant !;same;;;;;;;;;;;;;;;
8;Dis moi lequel alors ! Enfin si tu sais déjà lequel faire, sinon tu peux juste me dire que tu hésites encore 😉;;sportNow;VRAI;10;;VRAI;Ok merci c'est noté;;;;;;;;;;;;;;;;;;;;;
9;Tu veux faire un nouveau sport alors ?;;sportNow;FAUX;0;Non;FAUX;D'accord, j'espère que c'est pas à cause de ton entrée en licence que tu as décidé d'arrêter, ça ne t'empêches rien tu sais 😉;non;8;Oui;FAUX;T'as raison, ça te ferait du bien de changer après tout;oui;;;;;;;;;;;;;;;
10;;La dernière fois tu m'avais dit que tu voulais faire du sport en licence./, si je me souviens bien ! T'as trouvé un club ?;clubFound;FAUX;11;Non pas encore;VRAI;Ok j'espère que tu vas trouver rapidement;non;12;Oui c'est bon;VRAI;Cool !;oui;;;;;;;;;;;;;;;
11;Au fait t'as trouvé un club de sport finalement ?;;clubFound;FAUX;11;Toujours pas ;VRAI;;non;12;Oui ça y est;VRAI;;oui;;;;;;;;;;;;;;;
12;;Au fait,/, c'est le sport que tu faisais la dernière fois. Tu m'avais dit que t'avais trouvé un club, tu t'y plaît ou pas ?;sportNowIsFun;FAUX;9;Non pas vraiment;FAUX;Mince...😕;non;0;Oui trop !;FAUX;Content que t'aies pu trouver un club dans lequel tu vas t'épanouir ;oui;;;;;;;;;;;;;;;
13;Je passe à autre chose, c’est ta première année à l’Université ?;;firstYear;FAUX;14;Oui;FAUX;Ah ok ! N'hésite pas à demander de l'aide si tu te sens perdu !😉;0;14;Non;FAUX;D'acc tu connais les bails alors !;1;;;;;;;;;;;;;;;
14; Sur une échelle de 1 à 5, à quel point tu te sens motivé pour bosser les cours en ce moment ? Tu peux tout me dire tu sais, je vais pas juger 🤐;;motivation;FAUX;19;1;FAUX;Hum, ça a pas l'air d'aller niveau motivation 😕;1;19;2;FAUX;Aïe, ça a pas l'air d'aller 😲;2;15;3;FAUX;Ok, un peu motivé mais pas trop quoi 😌;3;15;4;FAUX;Cool, j'espère que tu vas rester motivé longtemps !😌;4;15;5;FAUX;Cool, j'espère que tu vas rester motivé longtemps !;5
15;Tu veux détailler ta motivation ?👂 T'es pas obligé de répondre, c'est comme tu veux !;;whyMotivation;VRAI;16;;VRAI;;;;;;;;;;;;;;;;;;;;;;
16;A quel niveau de deter te situes-tu ?;;motivation;FAUX;17;1;FAUX;Hum, ça a pas l'air d'aller niveau motivation 😕;1;17;2;FAUX;Aïe, ça a pas l'air d'aller 😲;2;17;3;FAUX;Ok, un peu motivé mais pas trop quoi 😌;3;17;4;FAUX;Cool, j'espère que tu vas rester motivé longtemps !😌;4;17;5;FAUX;Cool, j'espère que tu vas rester motivé longtemps !;5
17;Est-ce qu'il y a un élément extérieur qui affecte ta motivation ?;;extMotivation;VRAI;16;;VRAI;;;;;;;;;;;;;;;;;;;;;;
18;Toujours dans le même sujet, qu'est-ce qui te motive à travailler ?😊;;whyWorks;FAUX;21;Je me sens obligé;FAUX;Hum, je vois...T'es motivé mais indirectement, pas directement parce que tu aimes ce que tu fais 😅;0;29;Pour mon avenir;FAUX;Ok c'est cool ça !🙂;1;21;J'aime avoir des bonnes notes;FAUX;Hum, je vois...T'es motivé mais indirectement, pas directement parce que tu aimes ce que tu fais 😅;2;0;J'aime ça !;FAUX;Ça me fait plaisir de voir quelqu'un qui aime ses cours ! Bon allez je change de sujet :;3;;;;;
19;Tu veux détailler un peu pourquoi tu es si peu motivé ? T'es pas obligé de répondre, mais ça peux m'aider à comprendre ce qui ne va pas !😇;;whyMotivation;VRAI;20;;FAUX;;;;;;;;;;;;;;;;;;;;;;
20;Qu'est ce qui pourrait te faire un peu plus aimer travailler selon toi ?;;helpMotivation;FAUX;22;Du sens dans les cours;FAUX;Hum, je vois...;0;0;Des profs plus intéressants;FAUX;Hum, je vois...;1;0;Un entourage;FAUX;;2;21;Autre;FAUX;;3;;;;;
21;Dans ce cas là tu peux me détailler ce qui pourrait te faire aimer le travail ?🙂;;helpMotivation;VRAI;0;;FAUX;Merci pour ta réponse !😘 Bon allez je change de sujet :;;;;;;;;;;;;;;;;;;;;;
22;Tu penses que t'es mal orienté ? T'aimerais changer de licence ?🙄;;changeOrientation;FAUX;0;Non;FAUX;Si besoin, n'oublie pas qu'il y a des aides à la réorientation en licence !;non;0;Oui;FAUX;T'inquiète pas, il y a des personnes qui sont là pour toi ! Tu peux par exemple contacter ton enseignant référent pour en discuter avec lui, tu peux lui demander de l'aide !🤝;oui;;;;;;;;;;;;;;;
