idQ;body;persoBody;field;textArea;answer;;;;;answer;;;;;answer;;;;;answer;;;;;answer;;;;
;;;;;idQ;body;breakPoint;reaction;detail;idQ;body;breakPoint;reaction;detail;idQ;body;breakPoint;reaction;detail;idQ;body;breakPoint;reaction;detail;idQ;body;breakPoint;reaction;detail
1;Salut ! Je suis ton chatbot, je vais te suivre durant tes 3 année de licence pour t'aider à réussir ! Aller on commence : comment tu t'appelles ?😊;;name;VRAI;2;;FAUX;Merci pour ta réponse !😍;;;;;;;;;;;;;;;;;;;;;
2;;Tu t'appelles/c'est bien ça ?;;FAUX;3;Non...;FAUX;Ah mince désolé !🤦;;0;Oui c'est ça !;FAUX;Ok super !;;;;;;;;;;;;;;;;
3;Tu peux me redonner ton prénom ?;;name;VRAI;2;;FAUX;Merci pour ta réponse !;;;;;;;;;;;;;;;;;;;;;
4;Bon je change de sujet : tu faisais du sport avant de venir ici ?👟;;sportBeforeComing;FAUX;6;Non j'en faisais pas;FAUX;D'accord pas de soucis;non;5;Oui !;FAUX;;oui;;;;;;;;;;;;;;;
5;Tu peux me dire lequel ?;;sportBeforeComing;VRAI;7;;FAUX;C'est noté !;;;;;;;;;;;;;;;;;;;;;
6;Tu comptes en faire ici en licence ?;;sportNow;FAUX;0;Non je suis pas un grand sportif...;FAUX;Ouais moi non plus, j'en ai jamais fait tu sais 😉;non;8;J'aimerais m'y mettre ouais;FAUX;Je vois que t'as pris de bonnes résolutions;oui;;;;;;;;;;;;;;;
7;;? J'adore ce sport. Tu veux continuer en licence ?;sportNow;FAUX;9;Non j'ai décidé d'arrêter;FAUX;Ok pas de soucis;non;10;Carrément !;VRAI;Content que t'ai pu trouver un sport qui te plaît autant !;same;;;;;;;;;;;;;;;
8;Dis moi lequel alors ! Enfin si tu sais déjà lequel faire, sinon tu peux juste me dire que tu hésites encore 😉;;sportNow;VRAI;10;;VRAI;Ok merci c'est noté;;;;;;;;;;;;;;;;;;;;;
9;Tu veux faire un nouveau sport alors ?;;sportNow;FAUX;0;Non;FAUX;D'accord, j'espère que c'est pas à cause de ton entrée en licence que tu as décidé d'arrêter, ça ne t'empêches rien tu sais 😉;non;8;Oui;FAUX;T'as raison, ça te ferait du bien de changer après tout;oui;;;;;;;;;;;;;;;
10;;La dernière fois tu m'avais dit que tu voulais faire du sport en licence./, si je me souviens bien ! T'as trouvé un club ?;clubFound;FAUX;11;Non pas encore;VRAI;Ok j'espère que tu vas trouver rapidement;non;12;Oui c'est bon;VRAI;Cool !;oui;;;;;;;;;;;;;;;
11;Au fait t'as trouvé un club de sport finalement ?;;clubFound;FAUX;11;Toujours pas ;VRAI;;non;12;Oui ça y'est;VRAI;;oui;;;;;;;;;;;;;;;
12;;Au fait,/, c'est le sport que tu faisais la dernière fois. Tu m'avais dit que t'avais trouvé un club, tu t'y plaît ou pas ?;sportNowIsFun;FAUX;9;Non pas vraiment;FAUX;Mince...😕;non;0;Oui trop !;FAUX;Content que t'ai pu trouvé un club dans lequel tu vas t'épanouir ;oui;;;;;;;;;;;;;;;
13;Je passe à autre chose : sur une échelle de 1 à 5, à quel point tu te sens motivé pour bosser les cours en ce moment ? Tu peux tout me dire tu sais, je vais pas juger 🤐;;motivation;FAUX;16;1;FAUX;Hum, ça a pas l'air d'aller niveau motivation 😕;1;16;2;FAUX;Aïe, ça a pas l'air d'aller;2;16;3;FAUX;Ok, un peu motivé mais pas trop quoi;3;14;4;FAUX;Cool, j'espère que tu vas rester motivé longtemps !;4;14;5;FAUX;Cool, j'espère que tu vas rester motivé longtemps !;5
14;Tu veux détailler ta motivation ? T'es pas obligé de répondre, c'est comme tu veux !;;whyMotivation;VRAI;15;;FAUX;;;;;;;;;;;;;;;;;;;;;;
15;Toujours dans le même sujet, tu travailles les cours pour quoi ?😊;;whyWorks;FAUX;18;Je me sens obligé;FAUX;Hum, je vois...T'es motivé mais indirectement, pas directement parce que tu aimes ce que tu fais;0;22;Pour mon avenir;FAUX;Ok c'est cool ça !;1;18;J'aime avoir des bonnes notes;FAUX;Hum, je vois...T'es motivé mais indirectement, pas directement parce que tu aimes ce que tu fais;2;21;J'aime ça !;FAUX;Ça me fait plaisir de voir quelqu'un qui aime ses cours ! Bon aller je change de sujet :;3;;;;;
